City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,klyuchi,52.2667,79.1667,12.94,87,94,3.39,RU,1691799807
84,olonkinbyen,70.9221,-8.7187,7.11,98,100,1.97,SJ,1691799807
85,byron bay,-28.65,153.6167,22.62,56,6,1.3,AU,1691799807
86,yanykurgan,43.915,67.2481,21.22,44,0,7.83,KZ,1691799807
87,lata,40.1629,-8.3327,21.15,98,38,1.41,PT,1691799808
88,safotu,-13.4513,-172.4018,27.41,82,73,4.05,WS,1691799808
89,yuzhno-kurilsk,44.0306,145.8556,16.03,90,100,4.41,RU,1691799808
90,gunjur,13.2019,-16.7339,26.04,94,40,0.0,GM,1691799808
91,weno,7.4515,151.8468,25.97,94,100,3.09,FM,1691799809
92,amga,60.8953,131.9608,21.16,70,73,2.29,RU,1691799809
93,ilulissat,69.2167,-51.1,9.01,71,75,3.6,GL,1691799809
94,at taj,24.2049,23.2857,29.91,29,2,4.08,LY,1691799809
95,anadyr,64.75,177.4833,11.28,82,100,3.0,RU,1691799809
96,whitehorse,60.7161,-135.0538,18.39,46,75,5.66,CA,1691799809
97,corner brook,48.9667,-57.9484,16.09,90,76,1.72,CA,1691799536
98,inirida,3.8653,-67.9239,24.95,91,57,1.2,CO,1691799810
99,la sarre,48.8002,-79.1996,16.97,64,81,1.63,CA,1691799810
100,fale old settlement,-9.3852,-171.2468,28.18,67,42,4.9,TK,1691799810
101,broken hill,-31.95,141.4333,16.47,39,47,3.75,AU,1691799810
102,leiston,52.2061,1.5776,18.43,91,99,5.07,GB,1691799810
103,kargopol',61.5071,38.9456,17.27,89,37,1.87,RU,1691799811
104,siemiatycze,52.4272,22.8623,13.96,65,24,0.75,PL,1691799811
105,sao vicente,-23.9631,-46.3919,24.1,75,2,1.78,BR,1691799811
106,khouribga,32.9333,-6.6,32.47,20,85,4.57,MA,1691799811
107,queenstown,-31.8976,26.8753,11.02,48,1,2.35,ZA,1691799811
108,alice springs,-23.7,133.8833,21.75,26,0,2.06,AU,1691799682
109,thompson,55.7435,-97.8558,21.09,43,75,1.54,CA,1691799812
110,saint croix,17.7397,-64.7388,29.25,70,20,3.6,VI,1691799812
111,constantia,44.1833,28.65,20.39,55,5,5.38,RO,1691799675
112,codrington,-38.2667,141.9667,10.54,94,100,3.74,AU,1691799700
113,port alfred,-33.5906,26.891,19.63,42,1,3.72,ZA,1691799812
114,kloulklubed,7.0419,134.2556,29.28,80,97,7.12,PW,1691799809
115,rongelap,11.1635,166.8941,28.67,77,81,7.66,MH,1691799812
116,hobyo,5.3505,48.5268,24.41,82,84,9.87,SO,1691799813
117,mudhol,16.35,75.2833,22.22,84,76,4.78,IN,1691799813
118,aykhal,66.0,111.5,19.18,49,100,3.27,RU,1691799813
119,iqaluit,63.7506,-68.5145,6.85,87,75,2.06,CA,1691799813
120,tofol,5.3248,163.0078,30.88,70,75,1.54,FM,1691799814
121,kyzyl,51.7,94.45,18.32,73,88,1.51,RU,1691799814
122,mandiana,10.6333,-8.6833,22.46,96,96,2.05,GN,1691799814
123,rondonopolis,-16.4708,-54.6356,30.84,26,93,1.64,BR,1691799814
124,borogontsy,62.6683,131.1683,21.57,59,100,3.95,RU,1691799814
125,avarua,-21.2078,-159.775,26.03,83,100,2.57,CK,1691799814
126,kangaba,11.9333,-8.4167,23.18,93,88,1.19,ML,1691799815
127,ikalamavony,-21.15,46.5833,14.25,83,9,1.77,MG,1691799815
128,qaqortoq,60.7167,-46.0333,6.17,87,2,1.53,GL,1691799815
129,sao felix do xingu,-6.6447,-51.995,26.49,42,1,0.35,BR,1691799815
130,hithadhoo,-0.6,73.0833,27.57,73,100,6.37,MV,1691799815
131,strezhevoy,60.7333,77.5889,8.17,68,57,5.51,RU,1691799815
132,ust-nera,64.5667,143.2,23.0,40,1,1.16,RU,1691799816
133,chonchi,-42.6128,-73.8092,3.95,84,99,0.95,CL,1691799816
134,mount isa,-20.7333,139.5,23.87,33,9,5.14,AU,1691799816
135,haiku-pauwela,20.9219,-156.3051,29.01,51,40,10.8,US,1691799816
136,amuntai,-2.4177,115.2494,23.58,79,81,0.07,ID,1691799816
137,basey,11.2817,125.0683,24.96,95,98,0.73,PH,1691799816
138,sinabang,2.4803,96.3801,25.66,83,44,1.0,ID,1691799816
139,puerto natales,-51.7236,-72.4875,-0.56,90,10,2.38,CL,1691799817
140,cooma,-36.2333,149.1333,8.66,58,82,2.1,AU,1691799817
